ds,y
2019/10/10,2621.3316
2019/10/11,2669.0172
2019/10/12,2632.9704
2019/10/13,1810.2156
2019/10/14,2522.4576
2019/10/15,2547.534
2019/10/16,2281.4472
2019/10/17,2250.7188
2019/10/18,2021.9556
2019/10/19,1603.122
2019/10/20,1572.9312
2019/10/21,2236.6104
2019/10/22,2110.0848
2019/10/23,2228.3592
2019/10/24,2182.4424
2019/10/25,2176.9032
2019/10/26,1633.266
2019/10/27,1445.37
2019/10/28,2075.7648
2019/10/29,1705.2348
2019/10/30,1856.2896
2019/10/31,1900.5336
2019/11/1,1923.9336
2019/11/2,1574.388
2019/11/3,1599.9984
2019/11/4,1971.9636
2019/11/5,1871.2008
2019/11/6,1925.4288
2019/11/7,1909.1424
2019/11/8,1809.5796
2019/11/9,1435.548
2019/11/10,1384.2984
2019/11/11,1869.9264
2019/11/12,2044.2636
2019/11/13,2045.2308
2019/11/14,1868.1972
2019/11/15,1882.8204
2019/11/16,1428.498
2019/11/17,1510.1952
2019/11/18,2011.9824
2019/11/19,1684.0932
2019/11/20,1759.6728
2019/11/21,1731.876
2019/11/22,1754.6928
2019/11/23,1418.2416
2019/11/24,1437.7176
2019/11/25,1956.3216
2019/11/26,1858.704
2019/11/27,1845.9672
2019/11/28,1778.7804
2019/11/29,1764.3312
2019/11/30,1257.1116
2019/12/1,1311.6
2019/12/2,1714.0488
2019/12/3,1724.3352
2019/12/4,1820.2668
2019/12/5,1748.586
2019/12/6,1689.2244
2019/12/7,1184.682
2019/12/8,1328.2944
2019/12/9,1797.6024
2019/12/10,1778.91
2019/12/11,1717.4148
2019/12/12,1677.0744
2019/12/13,1874.034
2019/12/14,1321.3404
2019/12/15,1321.1952
2019/12/16,1973.3412
2019/12/17,1962.4524
2019/12/18,1987.1904
2019/12/19,1923.0912
2019/12/20,1838.4432
2019/12/21,1271.4684
2019/12/22,1238.3712
2019/12/23,1778.772
2019/12/24,1904.9172
2019/12/25,1899.672
2019/12/26,1867.6212
2019/12/27,1721.5896
2019/12/28,1265.1828
2019/12/29,1333.8852
2019/12/30,1930.284
2019/12/31,1877.6856
2020/1/1,1243.1964
2020/1/2,1790.1048
2020/1/3,1779.6324
2020/1/4,1311.5892
2020/1/5,1303.4364
2020/1/6,1855.1112
2020/1/7,1898.3916
2020/1/8,1770.1056
2020/1/9,1738.7712
2020/1/10,1735.59
2020/1/11,1308.0228
2020/1/12,1086.0036
2020/1/13,1582.8348
2020/1/14,1622.3304
2020/1/15,1576.6632
2020/1/16,1629.336
2020/1/17,1506.078
2020/1/18,1038.4536
2020/1/19,1217.1936
2020/1/20,1081.4844
2020/1/21,1113.7368
2020/1/22,1079.5716
2020/1/23,1039.3416
2020/1/24,865.6368
2020/1/25,819.0636
2020/1/26,726.588
2020/1/27,780.2928
2020/1/28,724.8528
2020/1/29,732.5796
2020/1/30,856.8276
2020/1/31,823.86
2020/2/1,797.0112
2020/2/2,784.44
2020/2/3,945.1104
2020/2/4,877.7112
2020/2/5,905.1336
2020/2/6,888.9228
2020/2/7,915.3288
2020/2/8,820.2588
2020/2/9,966.8184
2020/2/10,1045.2684
2020/2/11,1039.8468
2020/2/12,1070.8356
2020/2/13,1144.3332
2020/2/14,1234.8336
2020/2/15,1161.0996
2020/2/16,1093.4616
2020/2/17,1012.386
2020/2/18,1044.534
2020/2/19,1172.4384
2020/2/20,1132.0512
2020/2/21,1084.842
2020/2/22,1075.956
2020/2/23,1142.3016
2020/2/24,1246.8972
2020/2/25,1267.7412
2020/2/26,1319.8512
2020/2/27,1373.7384
2020/2/28,1451.7528
2020/2/29,1268.3244
2020/3/1,1307.1444
2020/3/2,1814.6856
2020/3/3,1915.3176
2020/3/4,1943.8188
2020/3/5,1519.1904
2020/3/6,1620.5688
2020/3/7,1407.1584
2020/3/8,1597.638
2020/3/9,1985.3568
2020/3/10,1660.5768
2020/3/11,1987.902
2020/3/12,1756.632
2020/3/13,2226.1788
2020/3/14,1547.5296
2020/3/15,1446.4548
2020/3/16,1653.2772
2020/3/17,1799.4828
2020/3/18,1710.6624
2020/3/19,1948.7196
2020/3/20,1785.8316
2020/3/21,1673.922
2020/3/22,1645.0452
2020/3/23,1926.4392
2020/3/24,1947.204
2020/3/25,1987.6584
2020/3/26,2323.1196
2020/3/27,2500.3896
2020/3/28,1546.752
2020/3/29,1579.4244
2020/3/30,1734.5916
2020/3/31,1778.7756
2020/4/1,1916.1852
2020/4/2,1991.8596
2020/4/3,1982.0484
2020/4/4,1687.4796
2020/4/5,1508.9856
2020/4/6,1643.8152
2020/4/7,1842.0792
2020/4/8,1827.5004
2020/4/9,1773.2868
2020/4/10,1771.2696
2020/4/11,1833.0792
2020/4/12,1451.0772
2020/4/13,1801.1544
2020/4/14,2099.4216
2020/4/15,1805.3172
2020/4/16,1970.4864
2020/4/17,2150.2032
2020/4/18,1944.0084
